A,B,C,E,F,n_blocks,first_D,last_D,example_path
,AURO Pudding_at Aurora to Molalla+Pudding,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora to Molalla+Pudding/Flow/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora to Molalla+Pudding,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora to Molalla+Pudding/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,AURO Pudding_at Aurora to Molalla+Pudding,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO Pudding_at Aurora to Molalla+Pudding/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,AURO_Pudding River nr Aurora,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO_Pudding River nr Aurora/Flow/01Jan2012/1Day/Temp1Day--0/
,AURO_Pudding River nr Aurora,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO_Pudding River nr Aurora/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,AURO_Pudding River nr Aurora,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//AURO_Pudding River nr Aurora/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-ROUTING-Blue River-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-ROUTING-Blue River-1/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-ROUTING-Cougar-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-ROUTING-Cougar-1/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield to McKenzie+Mohawk,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield to McKenzie+Mohawk/Flow/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield to McKenzie+Mohawk,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield to McKenzie+Mohawk/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield to McKenzie+Mohawk,Flow-ROUTING-Blue River-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield to McKenzie+Mohawk/Flow-ROUTING-Blue River-1/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield to McKenzie+Mohawk,Flow-ROUTING-Cougar-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield to McKenzie+Mohawk/Flow-ROUTING-Cougar-1/01Jan2012/1Day/Temp1Day--0/
,Abv Hayden Bridge_at Springfield to McKenzie+Mohawk,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Abv Hayden Bridge_at Springfield to McKenzie+Mohawk/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Alternative_Setup,Code,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Alternative_Setup/Code/01Jan2012/1Day/Temp1Day--0/
,BLUE RIVER,ELEV,1Day,COMBINED,6,01Jan2012,01Jan2017,//BLUE RIVER/ELEV/01Jan2012/1Day/COMBINED/
,BLUE RIVER,ELEV,1Day,RULE CURVE,6,01Jan2012,01Jan2017,//BLUE RIVER/ELEV/01Jan2012/1Day/RULE CURVE/
,BLUE RIVER,ELEV,1Day,RULE CURVE-Temp1Day--0,6,01Jan2012,01Jan2017,//BLUE RIVER/ELEV/01Jan2012/1Day/RULE CURVE-Temp1Day--0/
,BLUE RIVER,FLOW-IN,1Day,WILLAMETTE_EIS,6,01Jan2012,01Jan2017,//BLUE RIVER/FLOW-IN/01Jan2012/1Day/WILLAMETTE_EIS/
,BLUE RIVER,FLOW-IN,1Day,WILLAMETTE_EIS-Temp1Day--0,6,01Jan2012,01Jan2017,//BLUE RIVER/FLOW-IN/01Jan2012/1Day/WILLAMETTE_EIS-Temp1Day--0/
,BLUE RIVER,FLOW-OUT,1Day,USGS 14162200,6,01Jan2012,01Jan2017,//BLUE RIVER/FLOW-OUT/01Jan2012/1Day/USGS 14162200/
,Below Leaburg Dam,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-ROUTING-Blue River-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-ROUTING-Blue River-1/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-ROUTING-Cougar-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-ROUTING-Cougar-1/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam to Mkenzie_nr Walterville,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam to Mkenzie_nr Walterville/Flow/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam to Mkenzie_nr Walterville,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam to Mkenzie_nr Walterville/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam to Mkenzie_nr Walterville,Flow-ROUTING-Blue River-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam to Mkenzie_nr Walterville/Flow-ROUTING-Blue River-1/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam to Mkenzie_nr Walterville,Flow-ROUTING-Cougar-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam to Mkenzie_nr Walterville/Flow-ROUTING-Cougar-1/01Jan2012/1Day/Temp1Day--0/
,Below Leaburg Dam to Mkenzie_nr Walterville,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Below Leaburg Dam to Mkenzie_nr Walterville/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,Flow-GC-RELEASE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/Flow-GC-RELEASE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/RULEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Inactive-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Inactive-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Inactive-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Inactive-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Rule Curve-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Rule Curve-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Rule Curve-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Rule Curve-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Top of Dam-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Top of Dam-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Big Cliff-Top of Dam-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Big Cliff-Top of Dam-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/RULEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/RULEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam L&O IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam L&O IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam Tailwater,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam Tailwater/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam Tailwater,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam Tailwater/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam Tailwater,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam Tailwater/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam Tailwater,Flow-ROUTING-Detroit-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam Tailwater/Flow-ROUTING-Detroit-1/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Dam Tailwater,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Dam Tailwater/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Inactive,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Inactive/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Inactive,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Inactive/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Area-Reservoir,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Area-Reservoir/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Elev,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Elev/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Elev-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Elev-EST/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-EST/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-HOLDOUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-HOLDOUT/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-IN NET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-IN NET/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-OUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-OUT/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Flow-Q2S,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Flow-Q2S/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Stor,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Stor/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Stor-PUMP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Stor-PUMP/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Pool,Stor-PUMP-CAP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Pool/Stor-PUMP-CAP/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/RULEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Power Plant IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Power Plant IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Rule Curve,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Rule Curve/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Rule Curve,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Rule Curve/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/RULEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Spillway IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Spillway IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Top of Dam,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Top of Dam/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-Top of Dam,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-Top of Dam/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-[DUMMY] IMPORT MODULES,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-[DUMMY] IMPORT MODULES/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-[DUMMY] IMPORT MODULES-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-[DUMMY] IMPORT MODULES-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-[DUMMY] Initialize ControllerExternalSV,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-[DUMMY] Initialize ControllerExternalSV/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff-[DUMMY] Initialize ControllerExternalSV-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff-[DUMMY] Initialize ControllerExternalSV-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-Local,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-Local/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-ROUTING-Detroit-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-ROUTING-Detroit-1/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_IN Big Cliff Local Inflow_HMSsub_NSantiamRv_S15/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_OUT,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_OUT/Flow/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_OUT,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_OUT/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Big Cliff_OUT,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Big Cliff_OUT/Flow-IN/01Jan2012/1Day/Temp1Day--0/
