missingClass,numFiles,baseline,files
hec.heclib.util.HecTime,34,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/DSSTasks.py; NWDJyLib/DSS/cCollections.py; NWDJyLib/DSS/cDSS.py; NWDJyLib/DSS/cEnsemble.py; NWDJyLib/DSS/cTsUtils.py; NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py; NWDJyLib/cTimes.py; RealtimeData/TemperatureGrids.py; RealtimeData/TemperatureGridsrfc.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example2 - RunBatch Application/Running ResSim BATCH/BatchRunControl.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example4 - website-based forcasting system/RunFCOResSim.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py; externalRules/DeepDrawdown.py; externalRules/DraftToRC.py; externalRules/ElevInterpDummyRule_Template.py; externalRules/FIRO_SPACE.py; externalRules/FillLOPfirst.py; externalRules/IRRM.py; externalRules/MinFlowPlusWithdrawal.py; externalRules/NoDraft.py; externalRules/SpringSpill.py; externalSVs/ControllerExternalSV.py; externalSVs/MainstemFlowAugSV.py; externalSVs/baseExternalSV.py
hec.heclib.util.Heclib,1,,NWDJyLib/DSS/cDSS.py
hec.hecmath,12,,RealtimeData/TemperatureGrids.py; RealtimeData/TemperatureGridsrfc.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example2 - RunBatch Application/Running ResSim BATCH/BatchRunControl.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py
hec.hecmath.DSS,5,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/cDSS.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py; externalSVs/Alternative_Setup.py
hec.hecmath.DSSFile,1,,NWDJyLib/DSS/cDSS.py
hec.hecmath.DSSFileException,3,,NWDJyLib/DSS/cDSS.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.hecmath.DisplayUtilities,9,,SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py
hec.hecmath.HecMath,1,,externalSVs/baseExternalSV.py
hec.hecmath.HecMathException,3,,NWDJyLib/DSS/cDSS.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.hecmath.TextMath,2,,NWDJyLib/DSS/cDSS.py; externalSVs/baseExternalSV.py
hec.hecmath.TimeSeriesMath,10,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/DSSTasks.py; NWDJyLib/DSS/cDSS.py; NWDJyLib/DSS/cEnsemble.py; NWDJyLib/DSS/cTsUtils.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py; Willamette/StateVars/Cumloc_Harrisburg_Init.py; Willamette/StateVars/Cumloc_Jefferson_Init.py; externalSVs/baseExternalSV.py
hec.io.PairedDataContainer,3,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/cDSS.py; externalSVs/baseExternalSV.py
hec.io.TextContainer,2,,NWDJyLib/DSS/cDSS.py; externalSVs/baseExternalSV.py
hec.io.TimeSeriesCollectionContainer,1,,NWDJyLib/DSS/cCollections.py
hec.io.TimeSeriesContainer,7,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/cCollections.py; NWDJyLib/DSS/cDSS.py; NWDJyLib/DSS/cTsUtils.py; NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py; externalSVs/baseExternalSV.py
hec.lang.DSSPathString,5,,NWDJyLib/DSS/cDSS.py; NWDJyLib/DSS/cTsUtils.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py; externalSVs/baseExternalSV.py
hec.model.LocalTSRecordImpl,2,,NWDJyLib/CanadianOps/cNatLakeARDB.py; externalSVs/baseExternalSV.py
hec.model.PairedValuesExt,8,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/DSS/cDSS.py; NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py; externalRules/FillLOPfirst.py; externalRules/IRRM.py; externalSVs/MainstemFlowAugSV.py; externalSVs/baseExternalSV.py
hec.model.RunTimeStep,9,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/ResSim/ResSimController.py; NWDJyLib/ResSim/cResSim.py; NWDJyLib/cTimes.py; Willamette/StateVars/Cumloc_Harrisburg_Init.py; Willamette/StateVars/Cumloc_Jefferson_Init.py; externalRules/HCR_LOP_Balance.py; externalSVs/MainstemFlowAugSV.py; externalSVs/baseExternalSV.py
hec.model.RunTimeWindow,5,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/ResSim/ResSimController.py; NWDJyLib/ResSim/cResSim.py; NWDJyLib/cTimes.py; externalSVs/baseExternalSV.py
hec.model.SeasonalValue,1,,NWDJyLib/ResSim/cResSim.py
hec.model.TSDataSet,2,,NWDJyLib/CanadianOps/cNatLakeARDB.py; externalSVs/baseExternalSV.py
hec.model.TSRecord,2,,NWDJyLib/CanadianOps/cNatLakeARDB.py; externalSVs/baseExternalSV.py
hec.rss.model.ConstantRelease,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.ControlStructure,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.Dam,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.DiversionElement,2,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.rss.model.DiversionRule,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.DivertedOutletElement,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.JunctionElement,2,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.rss.model.MonthlyRelease,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.MuskingumRouting,1,,NWDJyLib/cRouting.py
hec.rss.model.NullRouting,2,,NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py
hec.rss.model.OpValue,13,,NWDJyLib/CanadianOps/cNatLakeARDB.py; externalRules/DeepDrawdown.py; externalRules/DraftToRC.py; externalRules/ElevInterpDummyRule_Template.py; externalRules/FIRO_SPACE.py; externalRules/FillLOPfirst.py; externalRules/HCR_LOP_Balance.py; externalRules/IRRM.py; externalRules/MinFlowPlusWithdrawal.py; externalRules/NoDraft.py; externalRules/SecondaryFloodDraftLimit.py; externalRules/SpringSpill.py; externalSVs/MainstemFlowAugSV.py
hec.rss.model.PulsChannelRoutingWithLosses,2,,NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py
hec.rss.model.ReachElement,2,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.rss.model.ReservoirDamElement,2,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.rss.model.ReservoirElement,3,,NWDJyLib/CanadianOps/cNatLakeARDB.py; NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.rss.model.ReservoirOutletElement,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.RssModelVariableConstants,4,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py; externalSVs/MainstemFlowAugSV.py; externalSVs/baseExternalSV.py
hec.rss.model.RssSystem,2,,NWDJyLib/CanadianOps/cNatLakeARDB.py; Utilities/Load_Scripts.py
hec.rss.model.ScriptOpRule,3,,NWDJyLib/CanadianOps/cNatLakeARDB.py; Utilities/Load_Scripts.py; externalSVs/Alternative_Setup.py
hec.rss.model.SpecifiedRelease,1,,NWDJyLib/ResSim/cResSim.py
hec.rss.model.SsarrRouting,2,,NWDJyLib/ResSim/cResSim.py; NWDJyLib/cRouting.py
hec.rss.model.TimeSeries,1,,NWDJyLib/ResSim/cResSim.py
hec.script.ClientAppWrapper,12,,DP_Menu.py; NWDJyLib/ResSim/ResSimController.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py; Utilities/Load_Scripts.py
hec.script.MessageBox,11,,DP_Menu.py; NWDJyLib/DSS/cTsUtils.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py
hec.script.Plot,2,,NWDJyLib/ResSim/ResSimTasks.py; NWDJyLib/ResSim/cResSim.py
hec.script.ResSim,15,,NWDJyLib/ResSim/ResSimController.py; SalemAlbanyAugScript/RunningResSimHeadless/BatchCompute_updateFromMike2023/2023.06.28_BatchRunControl_ResSim3.5update.py; SalemAlbanyAugScript/RunningResSimHeadless/JoshBat.py; SalemAlbanyAugScript/RunningResSimHeadless/RunPOR3Step.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example1 - simple/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/CHPS/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/YubaFeatherFCO/script_jdk.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/ressim/template/template.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example3 - NWS/fews/script_HeadlessCommands_withHotstart.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example4 - website-based forcasting system/RunFCOResSim.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/SimpleSim/script.py; SalemAlbanyAugScript/RunningResSimHeadless/runResSimHeadless.py
hec.ui.CheckTreeManager,2,,SalemAlbanyAugScript/RunningResSimHeadless/BatchCompute_updateFromMike2023/2023.06.28_BatchRunControl_ResSim3.5update.py; SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example2 - RunBatch Application/Running ResSim BATCH/BatchRunControl.py
hec2.rts.client.RTS,2,,RealtimeData/TemperatureGrids.py; RealtimeData/TemperatureGridsrfc.py
hec2.rts.script.Forecast,3,,RealtimeData/TemperatureGrids.py; RealtimeData/TemperatureGridsrfc.py; Utilities/FinalizeAndZip.py
jxl.Workbook,1,,DP_Menu.py
org.hjson.JsonValue,1,,externalSVs/Alternative_Setup.py
org.python.core.PyTuple,1,,NWDJyLib/cLoadModules.py
rma,1,,SalemAlbanyAugScript/RunningResSimHeadless/RunningResSimHEADLESS/Example2 - RunBatch Application/Running ResSim BATCH/BatchRunControl.py
